videoname,concept,pagerank,understand
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Digital literacy,0.00338573112730577,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Technology,0.003155371459485344,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Seed money,0.003013205055628825,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Software,0.003009761847192792,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Literacy,0.002912535146382236,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Health care,0.002802598006631669,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,NBC News,0.002750912129307437,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Education,0.002715575548070754,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Weaving,0.002709416088204839,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,French language,0.002505433740413242,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,United States dollar,0.002501223209235423,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,TeamViewer,0.01173311283146173,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Android (operating system),0.009364247414774462,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Kami,0.00916050544157982,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,YouTube,0.008559940100419447,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,San Francisco,0.00745288878443943,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Internet,0.005995099216058617,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Bring your own device,0.005607903270852061,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,WeChat,0.005382061937118507,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Android 10,0.005071588658939254,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Internet service provider,0.004817804736647856,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,IPad,0.00446008758664041,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Tablet computer,0.004367266710089483,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Operating system,0.003862099932591781,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Computer,0.0037869514194004,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Mobile phone,0.003776644005585355,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Digital literacy,0.003702081025891111,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,World Wide Web,0.003527373415802896,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Information technology,0.003346674308830819,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Technology,0.003326440805554821,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Email,0.003211687182262923,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Laptop,0.003152981910231422,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Machine learning,0.002902833512452211,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Disability,0.002787487078008389,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Quality of life,0.002739434263367171,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Education,0.002737188202796155,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,California,0.0115313329755965,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,California Department of Aging,0.009845332060502922,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,San Francisco,0.008996065358018456,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Internet,0.008741562590744215,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Videotelephony,0.006484358286728202,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Smartphone,0.005797173141293341,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Horse trainer,0.004381531165443661,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Volunteering,0.00384766819608161,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Christian Democratic Appeal,0.003833410808541853,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Web conferencing,0.003503163908601221,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Census,0.003267196546809664,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Email,0.003236860392747514,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Nonprofit organization,0.003203634082976279,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Disability,0.003180849399848743,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Logging,0.00293483984859356,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Steel,0.002868293822584821,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,World Wide Web,0.00286220794926994,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Education,0.002816200464973952,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Information,0.002746670501720836,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Tablet computer,0.002667396819766513,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Mobile app,0.002639102299644161,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,YouTube,0.002606685976664689,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Human,0.002584246931116878,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Spanish language,0.002551107922928856,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Learning,0.002548684082200327,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Baby boomers,0.01731031954098669,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,San Francisco,0.01445589831195172,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,"University of California, Berkeley",0.006452232826373441,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Beijing,0.006273667223349461,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Digital divide,0.006090523918836522,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Operating system,0.004635259900005712,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Australia,0.004434604876112214,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Internet,0.004274656564043547,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Technology,0.003981821723141037,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Disability,0.003979919156828125,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Google,0.003632809102632052,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Digital literacy,0.003590781338384513,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Computer,0.003367148858562539,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Startup company,0.003338564294707447,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,"University of California, San Francisco",0.003317740126555763,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,World Wide Fund for Nature,0.003230169770085886,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,World Wide Web,0.003061177604727708,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Mobile app,0.003007762624688174,1
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Health care,0.002958982878695927,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Information technology,0.002927262765148775,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Language,0.002863420598960776,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,NBC News,0.002793818448970313,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Business,0.002784617556609151,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Volunteering,0.002763345604015038,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Old age,0.002649813043690794,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Model (person),0.05457276175815227,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Ma (cuneiform),0.05369562143792708,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Audience,0.02413292639327962,0
Staying Connected: Digital Literacy to Combat Loneliness and Isolation,Will and testament,0.02362703786414514,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Digital divide,0.01520465264061165,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Digital literacy,0.005603643533491377,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Gerontology,0.005093102776753954,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Land acknowledgement,0.00456973106191136,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Internet,0.00443051098579559,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Smartphone,0.003815167886892578,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Digital media,0.003749952629463699,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Gerund,0.003678983498105573,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Social work,0.003452182634859664,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Technology,0.003347846637710775,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Psychotherapy,0.003342796641793323,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Old age,0.003102669965064233,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Aging in place,0.003088189735028377,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Megabyte,0.003021857755680857,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Research,0.00285404253815327,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Library,0.002815005779733995,0
Older Adults and Digital Literacy | Overcoming Digital Divides,University,0.002797856309294181,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Think tank,0.002745603215587024,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Literacy,0.002730289079351089,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Science,0.002707920087987324,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Information technology,0.002576655115650251,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Education,0.002557319546928723,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Entrepreneurship,0.002548582649973368,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Treaty,0.002518013251445209,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Financial services,0.002464176502464797,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Modem,0.007075935659915023,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Digital literacy,0.006883261689961821,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Human rights,0.006797786757165797,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Intersectionality,0.006782715123845578,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Smartphone,0.00607294545124342,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Natural language,0.005943001811024686,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Internet,0.005615054878557952,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Solitary confinement,0.005380826382802547,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Health care,0.005332465914987979,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Arthritis,0.004947536776212741,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Technology,0.004814680503474908,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Unlicensed assistive personnel,0.00468174235764278,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Disability,0.004493924859810798,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Literacy,0.004401663093615208,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Cognition,0.00422376374406083,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Library,0.003868886376048152,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Communication,0.003835950080172157,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Cognitive impairment,0.003805028827009992,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Language,0.003773383882935558,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Information,0.003713296363196764,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Research,0.003647954051374986,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Visual impairment,0.00362282970743148,0
Older Adults and Digital Literacy | Overcoming Digital Divides,World Wide Web,0.003613306408934176,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Knowledge,0.003550264165790039,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Long-term care,0.003521372372350742,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Digital divide,0.01883944945760385,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Gerund,0.01055719442710318,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Internet,0.007084539180654437,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Defender (association football),0.005831962681625403,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Qualitative research,0.00499272637679797,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Technology,0.004764544148428406,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Old age,0.004457746125514637,0
Older Adults and Digital Literacy | Overcoming Digital Divides,De facto,0.004407448344083313,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Human rights,0.004201601478237314,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Computer,0.003878372051672533,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Health care,0.003667380642786932,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Digital literacy,0.003646889281328735,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Chat room,0.00360531938935948,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Infrastructure,0.003569245930737521,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Social network,0.003567152817706439,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Literacy,0.003558164064282469,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Excludability,0.003493255003453976,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Research,0.003397754708188358,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Poverty,0.00331986575059406,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Communication,0.003224035141918177,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Corporation,0.003196700936903091,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Data,0.003138025478575465,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Knowledge,0.003090294464413261,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Smoking,0.003059504812102349,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Internet access,0.002999808591605876,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Ageism,0.01966765113570171,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Anxiety,0.006384534265850674,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Old age,0.006113360034604431,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Internet,0.00606366685431162,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Health care,0.005604081128845593,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Technology,0.005473656076708009,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Long-term care,0.005048944066443851,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Social media,0.004700438252054221,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Digital literacy,0.004624529247404067,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Learning styles,0.004309612175405598,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Computer,0.003587292857149409,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Poverty,0.003541087318172009,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Literacy,0.003444538049529055,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Retirement home,0.003412717643991835,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Education,0.003356735157004344,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Facebook,0.003330606871819636,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Email,0.003318286213831734,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Library,0.003234779465502235,0
Older Adults and Digital Literacy | Overcoming Digital Divides,University,0.003212228951674649,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Society,0.003199882115290264,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Triage,0.003140183352697329,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Information technology,0.003112274098319343,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Knowledge,0.003102005982898008,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Catholic Church,0.003068219441380342,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Apple,0.003003598311263691,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Post-it Note,0.01618933127897157,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Internet,0.008637911907454792,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Social work,0.005220470363173279,0
Older Adults and Digital Literacy | Overcoming Digital Divides,De facto,0.004866088717413976,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Broadband,0.004526117315293394,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Public housing,0.004297480222004667,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Health care,0.004197628643645143,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Telecommunications,0.004113987958872154,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Chat room,0.003867848151589851,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Technology,0.003859818671686742,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Social network,0.003490504255390057,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Computer,0.003339399338881489,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Public transport,0.00319299095856891,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Old age,0.003182011194797378,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Full stop,0.003028841701628846,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Literacy,0.003009013218647401,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Society,0.002980180138883967,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Education,0.002958910726893644,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Infrastructure,0.002937836916815824,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Poverty,0.002923076331447051,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Federal government of the United States,0.002720721906820395,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Diffusion,0.002702666020652424,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Tax,0.002682539098994998,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Employment,0.002638516581309089,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Regulation,0.002633035494174731,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Web design,0.007821880076703428,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Digital literacy,0.006943947014352287,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Word search,0.00652571447309307,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Mercury (element),0.006151654234788532,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Yoga,0.005512564088968314,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Old age,0.005438456323190876,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Internet,0.004921793529230923,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Digital media,0.00452004885953246,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Sustainability,0.004369902704439327,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Crossword,0.004091775270480703,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Chat room,0.004060748782425993,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Technology,0.003999513997558093,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Podcast,0.003968106486528717,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Library,0.003807265568174115,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Learning organization,0.003681309270083784,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Knowledge,0.003608916014890921,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Faith-based organization,0.003462939795366226,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Education,0.003409219645946791,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Storytelling,0.003404634805990505,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Disability,0.003370251233552302,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Literacy,0.003348667927487085,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Lifelong learning,0.003191963449093758,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Photography,0.003127481374227685,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Information,0.003074712622615954,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Google,0.00305350643445991,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Phishing,0.01048939129566839,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Human rights,0.00744993696362486,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Capability approach,0.006923826147207504,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Email,0.005907548448427146,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Coupon,0.005849979901218446,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Affordance,0.005787191788539759,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Chat room,0.005182340134011945,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Technology,0.005082185255533818,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Virus,0.004936949771320533,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Facebook,0.004859984425409879,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Computer,0.004540584018225535,0
Older Adults and Digital Literacy | Overcoming Digital Divides,Internet,0.004500703204790363,0
